,Sparklines,rowSum,order_pearson_average,WG_SEC_0-40_12a_122021,WG_SEC_0-40_13a_122021,WG_SEC_0-40_14a_122021,WG_SEC_0-40_15a_122021,WG_SEC_0-40_16a_122021,WG_SEC_0-40_17a_122021,WG_SEC_0-40_18a_122021,WG_SEC_0-40_19a_122021,WG_SEC_0-40_20a_122021,WG_SEC_0-40_21a_122021,WG_SEC_0-40_22a_122021,WG_SEC_0-40_23a_122021,WG_SEC_0-40_24a_122021,WG_SEC_0-40_25a_122021,WG_SEC_0-40_26a_122021,WG_SEC_0-40_27a_122021,WG_SEC_0-40_28a_122021,WG_SEC_0-40_29a_122021,WG_SEC_0-40_30a_122021,WG_SEC_0-40_31a_122021,WG_SEC_0-40_32a_122021,WG_SEC_0-40_33a_122021,WG_SEC_0-40_34a_122021,WG_SEC_0-40_35a_122021,WG_SEC_0-40_36a_122021,WG_SEC_0-40_37a_122021,WG_SEC_0-40_38a_122021,WG_SEC_0-40_39a_122021,WG_SEC_0-40_40a_122021,WG_SEC_0-40_41a_122021,WG_SEC_0-40_42a_122021,WG_SEC_0-40_43a_122021,WG_SEC_0-40_44a_122021,WG_SEC_0-40_45a_122021,WG_SEC_0-40_46a_122021,WG_SEC_0-40_47a_122021,WG_SEC_0-40_48a_122021,WG_SEC_0-40_49a_122021,WG_SEC_0-40_50a_122021,WG_SEC_0-40_51a_122021,WG_SEC_0-40_52a_122021,WG_SEC_0-40_53a_122021,WG_SEC_0-40_54a_122021,WG_SEC_0-40_55a_122021,WG_SEC_0-40_56a_122021,WG_SEC_0-40_57a_122021,WG_SEC_0-40_58a_122021,WG_SEC_0-40_59a_122021,WG_SEC_0-40_60a_122021,WG_SEC_0-40_61a_122021,WG_SEC_0-40_62a_122021
tr|A0A3B6LIH8|A0A3B6LIH8_WHEAT,,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6KRU6|A0A3B6KRU6_WHEAT,,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6KJN0|A0A3B6KJN0_WHEAT,,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6JFH8|A0A3B6JFH8_WHEAT,,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6HUV1|A0A3B6HUV1_WHEAT,,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6EFH3|A0A3B6EFH3_WHEAT,,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6EDJ4|A0A3B6EDJ4_WHEAT,,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6B3Y2|A0A3B6B3Y2_WHEAT,,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B5ZWU2|A0A3B5ZWU2_WHEAT,,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B5ZQC7|A0A3B5ZQC7_WHEAT,,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A080YU48|A0A080YU48_WHEAT,,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A1D5V187|A0A1D5V187_WHEAT,,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6NXE0|A0A3B6NXE0_WHEAT,,4,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6QBR5|A0A3B6QBR5_WHEAT,,4,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6THM3|A0A3B6THM3_WHEAT,,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B5Z488|A0A3B5Z488_WHEAT,,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6PF00|A0A3B6PF00_WHEAT,,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6KA04|A0A3B6KA04_WHEAT,,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
tr|A0A3B6C3H3|A0A3B6C3H3_WHEAT,,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
tr|A0A3B6ISH7|A0A3B6ISH7_WHEAT,,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6KBW0|A0A3B6KBW0_WHEAT,,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|M5AAW8|M5AAW8_WHEAT,,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6FUR5|A0A3B6FUR5_WHEAT,,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6CHC5|A0A3B6CHC5_WHEAT,,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6IU20|A0A3B6IU20_WHEAT,,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6LY37|A0A3B6LY37_WHEAT,,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A077RTQ6|A0A077RTQ6_WHEAT,,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6SFE4|A0A3B6SFE4_WHEAT,,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6RHW3|A0A3B6RHW3_WHEAT,,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B5Y497|A0A3B5Y497_WHEAT,,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6EGF0|A0A3B6EGF0_WHEAT,,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6PEN7|A0A3B6PEN7_WHEAT,,13,66,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,1
tr|A0A3B6AZW4|A0A3B6AZW4_WHEAT,,3,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6ECL5|A0A3B6ECL5_WHEAT,,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tr|A0A3B6I5E3|A0A3B6I5E3_WHEAT,,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
tr|A0A3B6KIK2|A0A3B6KIK2_WHEAT,,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
tr|A0A3B6RGS5|A0A3B6RGS5_WHEAT,,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tr|A0A0A7LU96|A0A0A7LU96_WHEAT,,3,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tr|A0A3B6TAW8|A0A3B6TAW8_WHEAT,,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tr|A0A3B6DHX8|A0A3B6DHX8_WHEAT,,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tr|A0A3B6HS67|A0A3B6HS67_WHEAT,,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
